dateFrom,name ,organizationPrimarySector ,eventSecondarySector,impact.category,impact.description,Attribution.type,source.name,source.URL,eventConfidenceJustificaiton ,otherInformation,,,,,,,,,
"December 1,2023",Keter Group,Industry,"One of the world's largest manufacturers of plastic consumer goods, given a valuation of $2.5 billion when they filed for IPO at the New York Stock Exchange back in 2021.",Wipe,CyberToufan shredded over 100(!) databases belonging to the Keter Group and its subsidiary companies as part of #OpCyberToufan. I,Claimed ,"Cyber Tourfan 
Cyber News ",https://t.me/CyberToufanBackup/42 ,"https://t.me/CyberToufanBackup/36
PRESS RELEASE | Cyber Toufan Operation

Abiding by the orders to cease fire, Cyber Toufan Operations has taken the decision to halt its ongoing operations against the Israeli government and economy, as well as its global financial backers (for the duration of this ceasefire).

We will be eagerly awaiting the ending of this ceasefire, as we have some leaks lined up that will squeeze the final breath out of Israel's already dying economy, this time targeting a number of multi-billion dollar Israeli corporations playing major roles in the global economy.","Keter Group | Operation Cyber Toufan

The Israeli Keter Group (Est. 1948) is one of the world's largest manufacturers of plastic consumer goods, given a valuation of $2.5 billion when they filed for IPO at the New York Stock Exchange back in 2021.

On the 16th of November, after Netanyahu had killed over 5,000 of our children, CyberToufan shredded over 100(!) databases belonging to the Keter Group and its subsidiary companies as part of #OpCyberToufan. It seems like, two weeks later, they are still stuck trying to recover from the mess Mr. Netanyahu has made for them (keter.co.il)..

Mark. Our. Words. All of Keter Group's sensitive data will be leaked in the case of further breaches of the agreement by the Israelis.

#OpCyberToufan #OpIsrael #IsraelLeaks",,,,,,,,,
"December 1,2023",Berkshire eSupply,Industry," industrial version of Amazon, containing",Wipe,Berkshire eSupply's complete systems (berkshireesupply.com) and backups have been down and wiped them all out ...All of Berkshire eSupply's sensitive data will be leaked in the case of further breaches by the Israelis. Mr. Buffet.. You may want to have a chat with your friend.,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/38) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/38,"""'m sure Mr. Buffet, like us, is eagerly awaiting the end of this ceasefire, and is enjoying watching every breach of the agreement the Israeli army commit in Gaza.""","Berkshire eSupply | Operation Cyber Toufan

Warren Buffet's multi-billion dollar project Berkshire eSupply (BeS) is the industrial version of Amazon, containing over 1 million industrial supply products and thousands of industrial suppliers. BeS thought it would be a good idea to financially support the genocidal state of Israel by contracting out their systems to Israeli companies.

Berkshire eSupply's complete systems (berkshireesupply.com) and backups have been down ""due to unforseen technical difficulties"" since the 16th of November, when Cyber Toufan wiped them all out in stage one of #OpCyberToufan.. I'm sure Mr. Buffet, like us, is eagerly awaiting the end of this ceasefire, and is enjoying watching every breach of the agreement the Israeli army commit in Gaza.

All of Berkshire eSupply's sensitive data will be leaked in the case of further breaches by the Israelis. Mr. Buffet.. You may want to have a chat with your friend.

#OpCyberToufan #OpIsrael #IsraelLeaks",,,,,,,,,
"December 1,2023",Berkshire eSupply,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan ,https://t.me/CyberToufanBackup/56,,"rkshire eSupply (Part One) - #OpCyberToufan #OpIsrael

Bismillah..

We have announced, time and time again, that #OpCyberToufan is a cyber operation, not just against the Israeli government, but against all those that have a hand in the killing of our children, the occupation of our land, and the expulsion of our people. Some participate in the killing of our children politically, some through their financing of the genocide, and some through their military support.

Tonight we drop one of our most dangerous leaks to date.. Warren Buffet's multi-billion dollar project Berkshire eSupply (BeS) is a little known company to most of the world. To the industrial world, however, it plays a critical role in the supply chain process of 10s of thousands of major industrial suppliers, distributors, and manufacturers. Among these, are many of the big name culprits, whose hands are drenched in the blood of our children - Lockheed Martin, Raytheon, Northrop Grumman, BAE Systems, General Dynamics, and many others..

Part one of the BeS leaks uncovers sensitive details of these companies, including addresses of many of their publicly known factories for weapons manufacturing - including sites that are used for development of some of their biggest military projects, as well as addresses of their top-secret R&D labs. The leaks also uncover sensitive details on 100s of front companies being used by these ""defense"" manufacturers as well as other top-secret projects for purchasing of equipment. There are also details on 10s of thousands of other major entities - including NASA, SpaceX, and.. all I'm going to say is that searching for ""NUCLEAR"" does not return zero results..

Part two of the BeS leaks, which we have chosen not to publish at this time, will include exact details on every single order made by each of these entities, a window into all of the interesting R&D projects all of these companies are working on.

Interestingly, with all this, Berkshire eSupply has known about the breach for over two weeks (we may have wiped out their systems and backups completely around two weeks ago - they are still trying to figure out how to recover @ berkshireesupply.com). It seems, however, that they've failed to inform any of their clients.. A little worrying if you ask me..

If you're wondering why we're doing this, re-read the first paragraph. We stopped our attacks during the ceasefire. Netanyahu, and standing right behind him, the Biden administration, have chosen to continue on their path of spilling the blood of our children, destruction of our land, and expulsion of our people from the homes of our ancestors.

Links:
https://gofile.io/d/rlYxQ2
https://download.gg/file-16051941_bef84b0d54547fb5
https://clicknupload.cc/3hsmdijjs22p
https://mdy48tn97.com/f/n0dz0jqetlq8x7k
https://doodrive.com/f/v231v2
https://1fichier.com/?xfufvl3fd469sxbaju33&af=62851

Password: @CyberToufan
SHA-1: 2c2a89e2353b3b697648d937e82f4b10bc11b14b

#IsraelLeaks #OpCyberToufan #OpIsrael

https://t.me/CyberToufan",,,,,,,,,
"December 1,2023",Israel Innovation Authority ,Information and Communications,Academic ,Hack and Leak ,"MiniDump has targeting information on over 65,000 Israeli companies conducting R&D across every sector in the Israeli economy. ",Claimed,Cyber Tourfan,https://t.me/CyberToufanBackup/28,,"#IsraelLeaks - Day Four - Leak One - Israel Innovation Authority - #OpCyberToufan #OpIsrael

Bismillah..

Israel Innovation Authority, or what was previously known as the Chief Scientist Office of Israel.. The support arm of the government for fostering industrial R&D in Israel. Companies come to them for their support - not so that their government can put them in a position of vulnerability.

Today's MiniDump has targeting information on over 65,000 Israeli companies conducting R&D across every sector in the Israeli economy. A gold mine for those interested in industrial espionage.

Links:
https://gofile.io/d/weX0eV
https://doodrive.com/f/w92o98
https://download.gg/file-16010311_a549429712b75170
https://mdy48tn97.com/f/wnzr01encdgnep
https://megaup.net/204nc/OpCyberToufan-IsraelLeaks-0x05-IsraelInnovationAuthority.zip
https://clicknupload.vip/4fb4rj1zpp7j

Password: @CyberToufan

https://t.me/CyberToufan",,,,,,,,,
"December 1,2023",MAX Security & Intelligence,"Security, Justice and Legal Affairs",,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/25) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/25,Your time in our land is running up. The curse of the 8th decade is knocking on your doors. Best leave before it does.,"#IsraelLeaks - Day Three - Leak Two - MAX Security & Intelligence - #OpCyberToufan #OpIsrael

Bismillah..

The target of tonight's leak is one of Israel's top intelligence and security companies - MAX Security & Intelligence (max-security.com). Much can be said about the complete and utter failure of Israel's ""intelligence"" capabilities. You failed on October 7th when our men came knocking on your doors. You failed again on November 16th and before that when we popped and exfil'd terabytes of data from your government servers and those of half your companies worth mentioning.

But we've been keeping a close eye on you, collecting intelligence on you, and monitoring you for over a decade.

Heck, we've even been monitoring your own intelligence agencies and major players in your own intelligence industry. Enough that we can burn a few just for the fun of it - and to watch the chaos that comes from your occupier population's realization that the safety and security Netanyahu and your government has been promising you - is just a facade. Nothing more. And to let you know that the resistance is everywhere. That we are highly capable. And that we have penetrated your government, intelligence, and military far deeper than you can imagine.

Your time in our land is running up. The curse of the 8th decade is knocking on your doors. Best leave before it does.

Link: https://gofile.io/d/qaR8gK
Password: @CyberToufan",,,,,,,,,
"December 1,2023",NASDAQ: RDWR (cybersecurity organization offering DDoS to 13k Companies),Information and Communications,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/21) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/21,"https://t.me/CyberToufanBackup/20

To all the zionist companies and organisations affected, those that know - and those that are yet to be informed.. Your turn will come, one by one.

Netanyahu has chosen a path of self-destruction. You are just the collateral damage. We will not stop so long as the war continues. It's your choice after all.","#IsraelLeaks - Day Three - Leak One - Radware (Part One) - #OpCyberToufan #OpIsrael

Bismillah..

Today we drop Part One of our Radware leaks. Now Radware (NASDAQ: RDWR) is a cyber security company that claims to be a ""global leader"" in cyber security - offering everything from IPSs to DDOS protection to ""Threat Intelligence"". Trusted and used by many, including (in Israel): the IDF, the Prime Minister's Office, Israeli Air Force, Israel Airport Authority, just to name a few.

Globally, RDWR have more than 13k customers, including Verizon, Paypal, the London Stock Exchange, the Indian Ministry of Home Affairs - Intel Bureau, and thousands of other huge banks and ministries. Go through the leaks for the full list - and find out what service each customer is using and why. On an unrelated note, who knew Colgate - Palmolive got ransomwared by Fancy Bear?

Note: To the global companies with their details published: Doing business with Israeli companies is financing their killing of our children. Do better or don't complain when you get caught up in the mess.

Part One of the RDWR leaks has details on customers, contact details of their liasons, details on services in use and financial details of contracts, plus more. For those sad not to see any creds in this release, we kept that for part two - and more :). The only password we needed to use for this leak was the complex master password Radware seems to use everywhere.. ""Radware123"".

Link: https://gofile.io/d/dl60qu

Password: @CyberToufan123

https://t.me/CyberToufan",,,,,,,,,
"December 1,2023",National Archive MiniDump (personal info of government officials),Public Sector Management,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/17) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/17 ,Iran-linked,"#IsraelLeaks - Day Two - Leak Two - National Archive MiniDump - #OpCyberToufan #OpIsrael

Bismillah..

Tonight we end with a light dump, containing personal information about over 10,000 government employees and researchers from the Government's National Archives server, as well as details about the departments they work in - including that of some Mossad agents ??. There are some interesting inquiries in there for the curious..

Password: @CyberToufan

https://t.me/CyberToufan",,,,,,,,,
"December 1,2023",ACE Hardware ,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/9) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/9,"https://t.me/CyberToufanBackup/7 

press release on all existing attacks","#IsraelLeaks - Day One - Leak One - ACE Israel - #OpCyberToufan #OpIsrael

Bismillah..

Now.. For our first release we will start with a bit smaller of a target. Israel's ACE Hardware (ace.co.il) knew that they got popped and that the Mujahideen has had every piece of information about all of their customers across their 28 branches in the country for some time now. Where they live, what they order, their names, numbers, and passwords. Even where they logged into their accounts from. But the Netanyahu government asked them to keep it all hush hush ??..

Well.. It looks like The Cyber Toufan will have to be the first to inform their poor customers. Turns out that Falcon sensor did little good in the end.

Size of the SQL dump uncompressed: 16 GB
Links:
https://mega.nz/file/gmBzQApb#6U86yYFWqf3KbQbR42SaspezJd3h8PcRm3k1yg-RVpI
https://gofile.io/d/AB7Vfq
Password: @CyberToufan

#OpCyberToufan is just getting started. Buckle up and enjoy the ride.
https://t.me/CyberToufan",,,,,,,,,
"December 1,2023",Homecenter Israel ,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/51) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/51,Making Israel and her global financiers open books - making it easier for our resistance to strike. We have published less than 15% of the data we currently have. We are just getting started.. :),"#IsraelLeaks - Day Five - Leak One - Homecenter Israel - #OpCyberToufan #OpIsrael

Bismillah..

Thanks to Netanyahu, #IsraelLeaks is back in action! We're back to making Israel and it's global financial backers open books! We're back to publishing the most personal of details on every occupier living on our lands. We're back to dropping gifts for those that want to avenge the killing of our children and destruction of our lands.

Today we publish the complete database of Homecenter Israel. Homecenter has over 40 branches across Israel, and we will be publishing the complete details of all of their customers: Names, Numbers, Home Addresses, Emails, Passwords, and more! A gift to our resistance, and a gift for all those that will be partaking in the upcoming intifada!

Note: We recommend you keep an eye on this channel. The #IsraelLeaks Operation has one goal: Making Israel and her global financiers open books - making it easier for our resistance to strike. We have published less than 15% of the data we currently have. We are just getting started.. :)

Links:
https://gofile.io/d/lAS4e3
https://clicknupload.cc/q4r6aan4l1ip
https://megaup.net/1kE6k
https://usersdrive.com/n4hvqutl763g
https://turbobit.net/kjifl91qp4w1.html

Password: @CyberToufan
SHA-1: f04498b7b72d69955222357ff498e2f29b2098af

#IsraelLeaks #OpCyberToufan #OpIsrael

https://t.me/CyberToufan",,,,,,,,,
"December 2,2023", Israel Nature and Parks Authority (Ratag),Environment,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/64) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/64,Iran-linked,"Bismillah..

We have a HUGE(!) Israeli Government leak for you all today :).

Government? Tick. MD5 Hashes? Tick. Hundreds of Thousands of Zionist Occupiers Affected? Tick!

We're starting today's leaks with the Israeli Government's Authority for National Parks (aka the Nature and Parks Authority - more well known in Israel as Ratag). Today's drop contains the information of over 350,000 Israelis who entrusted the Netanyahu government with the most personal of their data. The Israeli government then practically handed over all this data to the resistance.

Names, Phone Numbers, Home Addresses, Emails, Hashes, Employers, and more!

The Cyber Toufan continues.. So long as our brothers and sisters in Gaza continue to live under daily bombardment, forced expulsion from their homes, and the occupation of their land, we at Cyber Toufan Al-Aksa will continue to strike, day and night, in public and in secret.. And we're just getting started.. 

Links:
https://gofile.io/d/EPHWJA
https://1fichier.com/?vpysg4weyupuevvq5ir0&af=62851
https://mixdrop.ag/f/qlk3qq63f10gwq
https://download.gg/file-16053853_72804df4ff9520bb

Password: @CyberToufan
SHA-1: 65eec74f9387483529a0c210f975486b17290a48

#IsraelLeaks #OpCyberToufan #OpIsrael

https://t.me/CyberToufan - Backup: https://t.me/CyberToufanBackup",,,,,,,,,
