dateFrom,name ,organizationPrimarySector ,impact.category,impact.description,Attribution.type,source.name,source.URL,otherInformation
"October 8, 2023",News Portal Bali Indonesia,Information and Communications,DDoS ,"Media platform disruption, reputational harm, reduced access to news",Claimed,Garuna Ops ,https://t.me/garunaops/18,"balebengong News Portal Bali Indonesia Have Been Hacked.....

About Belebengong:- Citizen journalism portal about Bali since 26 June 2007 

Site:- https://balebengong.id/
Mirror:- https://ownzyou.com/zone/186757

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 8, 2023",Bangladesh Official Govt. Web Down,Public Sector Management,DDoS ,"Government platform outage, reputational harm, disruption of civic services",Claimed,Garuna Ops ,https://t.me/garunaops/25,"Bangladesh Official Govt. Web Down.....

Site:- http://www.bangladesh.gov.bd/

Report:- https://check-host.net/check-report/122e4c2fkd09

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 10, 2023",,"Public Sector Management
Public Sector Management
Industry
Education
Agriculture, Fisheries and Forestry
Education
Public Sector Management
Public Sector Management
Public Sector Management
Public Sector Management
Public Sector Management ",DDoS ,"Public sector outage, reputational harm, civic trust erosion",Claimed,Garuna Ops ,https://t.me/garunaops/43,"Hey Indonesia it's payback time ??

https://yku.or.id/
https://pbpii.or.id/
https://dongkrak.co.id/
http://baitularqom.or.id/
https://sorgum.id/
https://pesantrendigital.or.id/
http://waris.id/
https://pmipapua.or.id/
https://pmibadung.or.id/
https://piibali.or.id/
https://phbidenpasarselatan.or.id/

Mirror:- http://www.zone-h.org/mirror/id/40977851

Seprate Mirror:- https://t.me/dumpedarea/4

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 10, 2023",Qudra Renewable Energy Solutions Palestine Down,Energy and Extractives,DDoS ,"Energy service outage, reputational harm, operational disruption",Claimed,Garuna Ops ,https://t.me/garunaops/45,"Qudra Renewable Energy Solutions Palestine Down ??

?https://qudra.ps/

?https://check-host.net/check-report/123b057ekb56

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 10, 2023",Palestinian Business Network International Down,Information and Communications,DDoS ,"Business network disruption, reputational harm, investor confidence erosion",Claimed,Garuna Ops ,https://t.me/garunaops/46,"Palestinian Business Network International Down ??

?https://pbni.ps/

?https://check-host.net/check-report/123b0c07kea8

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 10, 2023",Palestinian Broadcasting Corporation ,Information and Communications,DDoS ,"Broadcast service disruption, reputational harm, public information blackout",Claimed,Garuna Ops ,https://t.me/garunaops/47,"Palestinian Broadcasting Corporation ??

?https://www.pbc.ps/

?https://check-host.net/check-report/123b28a2kd8c


#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 11, 2023",Palestine Digital Academy Down,Education,DDoS ,"Educational platform outage, reputational harm, learning disruption",Claimed,Garuna Ops ,https://t.me/garunaops/59,"Palestine Digital Academy Down ??

?https://digipal.ps

?https://check-host.net/check-report/1240caffk87c

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 11, 2023",Palestine Power Generation Co Down,Energy and Extractives,DDoS ,"Power generation outage, reputational harm, infrastructure strain",Claimed,Garuna Ops ,https://t.me/garunaops/61,"Palestine Power Generation Co Down ??

?http://web.ppgc.ps/

?https://check-host.net/check-report/12413a56kaea

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 12, 2023",Palestine Electric Company Down,Energy and Extractives,DDoS ,"Energy infrastructure outage, reputational harm, service delivery delays",Claimed,Garuna Ops ,https://t.me/garunaops/64,"Palestine Electric Company Down ??

?https://www.pec.ps

? https://check-host.net/check-report/1248470fka61

?https://check-host.net/check-report/124850b1kd8b

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 12, 2023",National Aluminum & Profile Co. Palestine Down,Industry,DDoS ,"Manufacturing outage, reputational harm, production delays",Claimed,Garuna Ops ,https://t.me/garunaops/65,"National Aluminum & Profile Co. Palestine Down ??

?https://napco.ps/

?https://check-host.net/check-report/12485751kfe8

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
